split,sample_index,component_slot,matched_slot,presence_true,presence_prob,presence_pred,type_true,type_pred,type_correct,center_x_true,center_x_pred,center_y_true,center_y_pred,axis_x_true,axis_x_pred,axis_y_true,axis_y_pred,depth_true,depth_pred,rotation_true,rotation_pred,center_error,axis_error,depth_error,rotation_error,target_schema,type_vocab,run_label,center_x_bin_true_derived,center_x_bin_pred_derived,center_y_bin_true_derived,center_y_bin_pred_derived,x_bin_correct,y_bin_correct,both_bins_correct,center_x_grid_error,center_y_grid_error,center_grid_error,center_offset_x_abs_error,center_offset_y_abs_error,center_offset_mae,pred_mask_iou,pred_area,target_area,area_diff,hard_case_type,defect_type,rotation_angle,component_type_combination
val,0,0,0,1,0.620519757270813,1,rectangular_notch,rotated_rect,0.0,0.0111097712069749,-0.0194310396909713,-0.0012666666880249,0.005458265542984,0.0149333337321877,0.0049663512036204,0.0014666666975244,0.0062190629541873,80.0,0.0017549592303112,0.0,-115.28558349609376,0.0312724448740482,0.0110420109704136,79.99824523925781,115.28558349609376,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch|rotated_rect,zero_shot_v2_train,15,6,5,9,False,False,False,75.97026880670902,33.28841528754812,82.94335618311989,0.49628360083862605,0.1610519109435154,0.3286677558910707,0.0,1071,259,812,x_bin_wrong_like,rectangular_notch,0.0,rectangular_notch
val,1,0,0,1,0.620519757270813,1,rectangular_notch,rotated_rect,0.0,-0.0244279168546199,-0.0194310396909713,-0.0006333333440124,0.005458265542984,0.0156444441527128,0.0049663512036204,0.0015999999595806,0.0062190629541873,85.0,0.0017549593467265,0.0,-115.28558349609376,0.0078788548707962,0.0116343200206756,84.99824523925781,115.28558349609376,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch|rotated_rect,zero_shot_v2_train,4,6,5,9,False,False,False,12.429732222402054,30.15341516461353,32.61482315160033,0.4462834721997435,0.23082310442330808,0.3385532883115258,0.0,1071,312,759,x_bin_wrong_like,rectangular_notch,0.0,rectangular_notch
val,2,0,0,1,0.620519757270813,1,rectangular_notch,rotated_rect,0.0,-0.0017545504961162,-0.0194310396909713,0.0,0.005458265542984,0.0135111110284924,0.0049663512036204,0.001733333338052,0.0062190629541873,70.0,0.0017549593467265,0.0,-115.2855987548828,0.0185000263154506,0.0096506318077445,69.99824523925781,115.2855987548828,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch|rotated_rect,zero_shot_v2_train,11,6,6,9,False,False,False,43.970267855014136,27.018415041679436,51.60793743801567,0.4962834818767678,0.37730188020993016,0.436792681043349,0.0,1071,264,807,x_bin_wrong_like,rectangular_notch,0.0,rectangular_notch
val,3,0,0,1,0.620519757270813,1,rectangular_notch,rotated_rect,0.0,0.0207660533487796,-0.0194310396909713,0.002373737283051,0.005458265542984,0.0138666667044162,0.0049663512036204,0.001520000048913,0.0062190629541873,75.0,0.0017549593467265,0.0,-115.28558349609376,0.0403152629733085,0.0100646317005157,74.99824523925781,115.28558349609376,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch|rotated_rect,zero_shot_v2_train,18,6,7,9,False,False,False,99.99027117133708,15.268415227944026,101.14928982692086,0.49878389641713655,0.09144809650699656,0.29511599646206654,0.0234848484848484,1071,280,791,both_bins_wrong_like,rectangular_notch,0.0,rectangular_notch
val,4,0,0,1,0.620519757270813,1,rectangular_notch,rotated_rect,0.0,-0.0146108316257596,-0.0194310396909713,-0.0024747473653405,0.005458265542984,0.0144888889044523,0.0049663512036204,0.0016400000313296,0.0062190629541873,80.0,0.0017549593467265,0.0,-115.28558349609376,0.0092826234176754,0.0105662923306226,79.99824523925781,115.28558349609376,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch|rotated_rect,zero_shot_v2_train,7,6,4,9,False,False,False,11.990267830217478,39.268414773923745,41.0581894571261,0.4987834787771847,0.09144815325953198,0.29511581601835835,0.0,1071,288,783,both_bins_wrong_like,rectangular_notch,0.0,rectangular_notch
val,5,0,0,1,0.620519757270813,1,rectangular_notch,rotated_rect,0.0,0.0092685651034116,-0.0194310396909713,-0.0046000001020729,0.005458265542984,0.0111111113801598,0.0049663512036204,0.0010666666785255,0.0062190629541873,85.0,0.0017549593467265,0.0,-115.2855987548828,0.0304111167788505,0.0080190561711788,84.99824523925781,115.2855987548828,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch|rotated_rect,zero_shot_v2_train,15,6,3,9,False,False,False,71.39026852172432,49.78841605588948,87.03710020995791,0.07621643478446055,0.22355200698618505,0.1498842208853228,0.0,1071,140,931,bins_correct_center_or_offset_bad,rectangular_notch,0.0,rectangular_notch
val,6,0,0,1,0.620519757270813,1,rectangular_notch,rotated_rect,0.0,-0.026108318939805,-0.0194310396909713,-0.0037333334330469,0.005458265542984,0.0092444447800517,0.0049663512036204,0.000866666669026,0.0062190629541873,70.0,0.0017549593467265,0.0,-115.28558349609376,0.0113609656691551,0.0068520242348313,69.99824523925781,115.28558349609376,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch|rotated_rect,zero_shot_v2_train,4,6,3,9,False,False,False,16.609732502730274,45.49841594832181,48.435411298127306,0.07621656284128422,0.3126980064597744,0.1944572846505293,0.0,1071,115,956,bins_correct_center_or_offset_bad,rectangular_notch,0.0,rectangular_notch
val,7,0,0,1,0.620519757270813,1,rectangular_notch,rotated_rect,0.0,-0.0106488885357975,-0.0194310396909713,0.0007533333264291,0.005458265542984,0.0080000003799796,0.0049663512036204,0.0007999999797903,0.0062190629541873,75.0,0.0017549593467265,0.0,-115.2855987548828,0.009963059797883,0.0062104160897433,74.99824523925781,115.2855987548828,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch|rotated_rect,zero_shot_v2_train,9,6,6,9,False,False,False,21.845601486782073,23.289414992505748,31.931601197128316,0.2692998141522401,0.08882312593678132,0.1790614700445107,0.0,1071,76,995,geometry_or_type_interaction,rectangular_notch,0.0,rectangular_notch
val,8,0,0,1,0.620519757270813,1,rectangular_notch,rotated_rect,0.0,-0.0075733331032097,-0.0194310396909713,0.0017466666176915,0.005458265542984,0.008533333428204,0.0049663512036204,0.000866666669026,0.0062190629541873,80.0,0.0017549593467265,0.0,-115.28558349609376,0.0124250221997499,0.0064320689998567,79.99824523925781,115.28558349609376,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch|rotated_rect,zero_shot_v2_train,10,6,7,9,False,False,False,29.496045796344987,18.372415090853355,34.74999789770781,0.3129942754568776,0.29655188635666957,0.3047730809067736,0.0,1071,84,987,geometry_or_type_interaction,rectangular_notch,0.0,rectangular_notch
val,9,0,0,1,0.620519757270813,1,rectangular_notch,rotated_rect,0.0,0.0055111111141741,-0.0194310396909713,-0.0008484848658554,0.005458265542984,0.0143999997526407,0.0049663512036204,0.0012000000569969,0.0062190629541873,85.0,0.0017549593467265,0.0,-115.2855987548828,0.0257271435111761,0.0106857251375913,84.99824523925781,115.2855987548828,center_x|center_y|axis_x|axis_y|depth_or_shape_param|rotation_angle,rectangular_notch|rotated_rect,zero_shot_v2_train,14,6,5,9,False,False,False,62.043601514581745,31.218415221540987,69.45500657148304,0.2445498106772805,0.09769809730737605,0.17112395399232827,0.0,1071,216,855,rare_y_bin_wrong,rectangular_notch,0.0,rectangular_notch
