label,sample_index,polygon_mask_iou,polygon_dice,oracle_iou,target_area,pred_area,area_diff_pixels,area_ratio,false_positive_pixels,false_negative_pixels,pixel_disagreement,target_polygon_area
longer_train30_train,0,0.9310344827586207,0.9642857142857143,1.0,189,203,14,1.0740740740740742,14,0,14,189
longer_train30_train,1,0.9330357142857143,0.9653579676674365,1.0,224,209,-15,0.9330357142857143,0,15,15,224
longer_train30_train,2,0.9673469387755103,0.983402489626556,1.0,238,244,6,1.0252100840336134,7,1,8,238
longer_train30_train,3,1.0,1.0,1.0,210,210,0,1.0,0,0,0,210
longer_train30_train,4,1.0,1.0,1.0,217,217,0,1.0,0,0,0,217
longer_train30_train,5,0.9372384937238494,0.9676025917926566,1.0,224,239,15,1.0669642857142858,15,0,15,224
longer_train30_train,6,0.966824644549763,0.983132530120482,1.0,204,211,7,1.0343137254901962,7,0,7,204
longer_train30_train,7,1.0,1.0,1.0,245,245,0,1.0,0,0,0,245
longer_train30_train,8,0.9743589743589743,0.987012987012987,1.0,228,234,6,1.0263157894736843,6,0,6,228
longer_train30_train,9,0.9776785714285714,0.9887133182844243,1.0,224,219,-5,0.9776785714285714,0,5,5,224
longer_train30_train,10,1.0,1.0,1.0,84,84,0,1.0,0,0,0,84
longer_train30_train,11,0.967391304347826,0.9834254143646409,1.0,184,178,-6,0.967391304347826,0,6,6,184
longer_train30_train,12,0.9560439560439561,0.9775280898876404,1.0,88,90,2,1.0227272727272727,3,1,4,88
longer_train30_train,13,0.9523809523809523,0.975609756097561,1.0,160,168,8,1.05,8,0,8,160
longer_train30_train,14,0.9666666666666667,0.9830508474576272,1.0,120,116,-4,0.9666666666666667,0,4,4,120
longer_train30_train,15,0.987012987012987,0.9934640522875817,1.0,76,77,1,1.013157894736842,1,0,1,76
longer_train30_train,16,0.9841269841269841,0.992,1.0,63,62,-1,0.9841269841269841,0,1,1,63
longer_train30_train,17,0.875,0.9333333333333333,1.0,63,72,9,1.1428571428571428,9,0,9,63
longer_train30_train,18,0.9239130434782609,0.96045197740113,1.0,92,85,-7,0.9239130434782609,0,7,7,92
longer_train30_train,19,0.8761904761904762,0.934010152284264,1.0,92,105,13,1.141304347826087,13,0,13,92
longer_train30_train,20,0.9827586206896551,0.991304347826087,1.0,57,58,1,1.0175438596491229,1,0,1,57
longer_train30_train,21,0.9117647058823529,0.9538461538461539,1.0,63,67,4,1.0634920634920635,5,1,6,63
longer_train30_train,22,0.8771929824561403,0.9345794392523364,1.0,102,112,10,1.0980392156862746,12,2,14,102
longer_train30_train,23,0.9051724137931034,0.9502262443438914,1.0,105,116,11,1.1047619047619048,11,0,11,105
longer_train30_train,24,0.8161764705882353,0.8987854251012146,1.0,120,127,7,1.0583333333333333,16,9,25,120
longer_train30_train,25,0.8758169934640523,0.9337979094076655,1.0,140,147,7,1.05,13,6,19,140
longer_train30_train,26,0.8677685950413223,0.9292035398230089,1.0,105,121,16,1.1523809523809523,16,0,16,105
longer_train30_train,27,0.8029197080291971,0.8906882591093117,1.0,137,110,-27,0.8029197080291971,0,27,27,137
longer_train30_train,28,0.8372093023255814,0.9113924050632911,1.0,116,121,5,1.043103448275862,13,8,21,116
longer_train30_train,29,1.0,1.0,1.0,140,140,0,1.0,0,0,0,140
