sample_index,polygon_mask_iou,polygon_dice,target_area,pred_area,true_component_count,pred_component_count
0,0.9310344827586207,0.9642857142857143,189,203,1,1
1,0.9330357142857143,0.9653579676674365,224,209,1,1
2,0.9673469387755103,0.983402489626556,238,244,1,1
3,1.0,1.0,210,210,1,1
4,1.0,1.0,217,217,1,1
5,0.9372384937238494,0.9676025917926566,224,239,1,1
6,0.966824644549763,0.983132530120482,204,211,1,1
7,1.0,1.0,245,245,1,1
8,0.9743589743589743,0.987012987012987,228,234,1,1
9,0.9776785714285714,0.9887133182844243,224,219,1,1
10,1.0,1.0,84,84,1,1
11,0.967391304347826,0.9834254143646409,184,178,2,2
12,0.9560439560439561,0.9775280898876404,88,90,1,1
13,0.9523809523809523,0.975609756097561,160,168,2,2
14,0.9666666666666667,0.9830508474576272,120,116,1,1
15,0.987012987012987,0.9934640522875817,76,77,1,1
16,0.9841269841269841,0.992,63,62,1,1
17,0.875,0.9333333333333333,63,72,1,1
18,0.9239130434782609,0.96045197740113,92,85,1,1
19,0.8761904761904762,0.934010152284264,92,105,1,1
20,0.9827586206896551,0.991304347826087,57,58,1,1
21,0.9117647058823529,0.9538461538461539,63,67,1,1
22,0.8771929824561403,0.9345794392523364,102,112,2,2
23,0.9051724137931034,0.9502262443438914,105,116,2,2
24,0.8161764705882353,0.8987854251012146,120,127,2,2
25,0.8758169934640523,0.9337979094076655,140,147,3,3
26,0.8677685950413223,0.9292035398230089,105,121,2,2
27,0.8029197080291971,0.8906882591093117,137,110,1,1
28,0.8372093023255814,0.9113924050632911,116,121,1,1
29,1.0,1.0,140,140,1,1
