phase,step,param_loss,forward_consistency_loss,total_loss,presence_loss,type_loss,continuous_loss,center_loss,axis_loss,depth_loss,rotation_loss,parametric_total_loss,raster_total_loss,raster_bce_loss,raster_dice_loss,raster_soft_iou,raster_soft_dice,raster_loss_active
inverse,1,1.8295258283615112,1.0939533710479736,1.8295258283615112,0.6917679905891418,0.6946992874145508,0.4430586099624634,nan,nan,nan,nan,1.8295258283615112,-0.0,0.0,0.0,nan,nan,0.0
inverse,250,0.4179970920085907,0.791839063167572,0.4179970920085907,0.0005950839840807021,0.15847544372081757,0.2589265704154968,nan,nan,nan,nan,0.4179970920085907,0.0,0.0,0.0,nan,nan,0.0
inverse,500,0.18741893768310547,0.617418110370636,0.18741893768310547,5.09936835442204e-05,0.010701525956392288,0.17666642367839813,nan,nan,nan,nan,0.18741893768310547,0.0,0.0,0.0,nan,nan,0.0
inverse,750,0.11947918683290482,0.5901823043823242,0.11947918683290482,1.828399945225101e-05,0.0024720884393900633,0.11698881536722183,nan,nan,nan,nan,0.11947918683290482,0.0,0.0,0.0,nan,nan,0.0
inverse,1000,0.09266746044158936,0.5756263136863708,0.09266746044158936,1.860875818238128e-05,0.0015317517099902034,0.09111709892749786,nan,nan,nan,nan,0.09266746044158936,-0.0,0.0,0.0,nan,nan,0.0
inverse,1250,0.0798930749297142,0.5858962535858154,0.0798930749297142,2.2484889996121638e-05,0.001365956268273294,0.07850463688373566,nan,nan,nan,nan,0.0798930749297142,-0.0,0.0,0.0,nan,nan,0.0
inverse,1500,0.07092172652482986,0.5730411410331726,0.07092172652482986,1.7964157450478524e-05,0.0007354978588409722,0.07016826421022415,nan,nan,nan,nan,0.07092172652482986,-0.0,0.0,0.0,nan,nan,0.0
inverse,1750,0.0674726814031601,0.5637862086296082,0.0674726814031601,1.8261462173541076e-05,0.0005513931391760707,0.0669030249118805,nan,nan,nan,nan,0.0674726814031601,-0.0,0.0,0.0,nan,nan,0.0
inverse,2000,0.06519892811775208,0.558509111404419,0.06519892811775208,1.772996984072961e-05,0.00042756134644150734,0.06475363671779633,nan,nan,nan,nan,0.06519892811775208,-0.0,0.0,0.0,nan,nan,0.0
inverse,2250,0.06392145156860352,0.557878315448761,0.06392145156860352,1.5803421774762683e-05,0.0003446778282523155,0.06356097012758255,nan,nan,nan,nan,0.06392145156860352,-0.0,0.0,0.0,nan,nan,0.0
inverse,2500,0.06465217471122742,0.5765838027000427,0.06465217471122742,1.5254070603987202e-05,0.0003684823459479958,0.06426844000816345,nan,nan,nan,nan,0.06465217471122742,-0.0,0.0,0.0,nan,nan,0.0
inverse,2750,0.06326369196176529,0.5569548606872559,0.06326369196176529,1.3188296179578174e-05,0.0002600204024929553,0.06299048662185669,nan,nan,nan,nan,0.06326369196176529,-0.0,0.0,0.0,nan,nan,0.0
inverse,3000,0.06554005295038223,0.5597299337387085,0.06554005295038223,1.5251198419719003e-05,0.00042265182128176093,0.06510215252637863,nan,nan,nan,nan,0.06554005295038223,0.0,0.0,0.0,nan,nan,0.0
