runner config | sample=13 | center_mode=three | test_centers=3 | test_radius=5.000000e+00 | lambda_area_prior=1.000000e+00 | lambda_mask_prior=1.000000e+00 | lambda_mask_bce_prior=1.000000e+00
sample=13 | outer=1/30 | loss_phi=2.515589e+00 | loss_mu=1.461705e+00 | mu_mse=1.698658e+05 | mu_mae=4.104817e+02 | defect_area_pred=0 | defect_area_label=5 | defect_iou=0.000000e+00
sample=13 | outer=2/30 | loss_phi=2.498793e+00 | loss_mu=8.706079e-01 | mu_mse=1.168266e+05 | mu_mae=3.351014e+02 | defect_area_pred=11 | defect_area_label=5 | defect_iou=4.545455e-01
sample=13 | outer=3/30 | loss_phi=2.496078e+00 | loss_mu=6.205564e-01 | mu_mse=6.928496e+04 | mu_mae=2.473423e+02 | defect_area_pred=10 | defect_area_label=5 | defect_iou=5.000000e-01
sample=13 | outer=4/30 | loss_phi=2.495222e+00 | loss_mu=6.168417e-01 | mu_mse=5.073604e+04 | mu_mae=2.022336e+02 | defect_area_pred=11 | defect_area_label=5 | defect_iou=4.545455e-01
sample=13 | outer=5/30 | loss_phi=2.494296e+00 | loss_mu=6.914502e-01 | mu_mse=4.656300e+04 | mu_mae=1.911511e+02 | defect_area_pred=11 | defect_area_label=5 | defect_iou=4.545455e-01
sample=13 | outer=6/30 | loss_phi=2.493118e+00 | loss_mu=7.976350e-01 | mu_mse=5.021983e+04 | mu_mae=2.011198e+02 | defect_area_pred=11 | defect_area_label=5 | defect_iou=4.545455e-01
sample=13 | outer=7/30 | loss_phi=2.491506e+00 | loss_mu=9.598497e-01 | mu_mse=5.815943e+04 | mu_mae=2.190583e+02 | defect_area_pred=11 | defect_area_label=5 | defect_iou=4.545455e-01
sample=13 | outer=8/30 | loss_phi=2.489189e+00 | loss_mu=1.238334e+00 | mu_mse=6.827081e+04 | mu_mae=2.389870e+02 | defect_area_pred=11 | defect_area_label=5 | defect_iou=4.545455e-01
sample=13 | outer=9/30 | loss_phi=2.485544e+00 | loss_mu=1.684031e+00 | mu_mse=8.652404e+04 | mu_mae=2.731686e+02 | defect_area_pred=13 | defect_area_label=5 | defect_iou=3.846154e-01
sample=13 | outer=10/30 | loss_phi=2.478866e+00 | loss_mu=2.082396e+00 | mu_mse=1.193234e+05 | mu_mae=3.223218e+02 | defect_area_pred=16 | defect_area_label=5 | defect_iou=3.125000e-01
sample=13 | outer=11/30 | loss_phi=2.471542e+00 | loss_mu=2.449160e+00 | mu_mse=1.463049e+05 | mu_mae=3.508480e+02 | defect_area_pred=29 | defect_area_label=5 | defect_iou=1.724138e-01
sample=13 | outer=12/30 | loss_phi=2.463917e+00 | loss_mu=2.710580e+00 | mu_mse=1.697286e+05 | mu_mae=3.695201e+02 | defect_area_pred=44 | defect_area_label=5 | defect_iou=1.136364e-01
sample=13 | outer=13/30 | loss_phi=2.454100e+00 | loss_mu=2.853718e+00 | mu_mse=1.850049e+05 | mu_mae=3.783498e+02 | defect_area_pred=49 | defect_area_label=5 | defect_iou=1.020408e-01
sample=13 | outer=14/30 | loss_phi=2.441481e+00 | loss_mu=2.866186e+00 | mu_mse=1.892881e+05 | mu_mae=3.762180e+02 | defect_area_pred=50 | defect_area_label=5 | defect_iou=1.000000e-01
sample=13 | outer=15/30 | loss_phi=2.427282e+00 | loss_mu=2.723500e+00 | mu_mse=1.817923e+05 | mu_mae=3.604413e+02 | defect_area_pred=47 | defect_area_label=5 | defect_iou=1.063830e-01
